,YEAR,INFLATION
0,1980,18.3
1,1981,20.2
2,1982,17.2
3,1983,10.4
4,1984,8.6
5,1985,5.5
6,1986,3.0
7,1987,3.2
8,1988,2.2
9,1989,4.0
10,1990,3.4
11,1991,3.1
12,1992,3.1
13,1993,1.4
14,1994,2.4
15,1995,2.5
16,1996,2.2
17,1997,1.3
18,1998,2.1
19,1999,2.4
20,2000,5.3
21,2001,4.0
22,2002,4.7
23,2003,4.0
24,2004,2.3
25,2005,2.2
26,2006,2.7
27,2007,2.9
28,2008,3.1
29,2009,-1.7
30,2010,-1.6
31,2011,1.2
32,2012,1.9
33,2013,0.5
34,2014,0.3
35,2015,0.0
36,2016,-0.2
37,2017,0.3
38,2018,0.7
39,2019,0.9
40,2020,-0.5
41,2021,1.9
42,2022,1.9
43,2023,2.0
44,2024,2.0
45,2025,2.0
46,2026,2.0
